numsinusername,posts,followers,following,ratio,biolength,fake
0.6,12,65,162,2.492307692,10,1
0.46,1,20,52,2.6,6,1
0.31,0,26,27,1.038461538,1,1
0.43,0,72,434,6.027777778,4,1
0,1,55,2,0.036363636,4,1
0.5,12,77,108,1.402597403,10,1
0,59,31,215,6.935483871,8,1
0.86,0,57,130,2.280701754,10,1
0.62,0,58,347,5.982758621,7,1
0.33,23,47,139,2.957446809,7,1
0.16,3,31,37,1.193548387,7,1
0.92,11,96,242,2.520833333,9,1
0.27,8,126,860,6.825396825,8,1
0.25,102,39,229,5.871794872,7,1
0.43,6,66,161,2.439393939,3,1
0.31,25,87,698,8.022988506,9,1
0.2,0,15,64,4.266666667,3,1
0.55,33,166,596,3.590361446,4,1
0.38,44,66,75,1.136363636,7,1
0.57,4,96,339,3.53125,1,1
0.57,0,57,73,1.280701754,1,1
0.27,2,150,487,3.246666667,1,1
0,341,6959,555,0.079752838,85,0
0,10,1192,1274,1.068791946,2,0
2,129,129,1133,8.782945736,129,0
2,128,479,4985,10.40709812,51,0
0,11,122,108,0.885245902,23,0
2,68,402,806,2.004975124,50,0
2,0,482,362,0.751037344,0,0
0,22,1067,1251,1.172446111,26,0
3,4,71,1783,25.11267606,6,0
2,29,333,344,1.033033033,19,0
4,15,700,756,1.08,52,0
2,40,957,526,0.549634274,46,0
4,7,188,957,5.090425532,95,0
0,0,285,316,1.10877193,70,0
0,0,152,375,2.467105263,115,0
3,131,1436,443,0.308495822,135,0
0,5,460,537,1.167391304,49,0
0,45,1202,337,0.280366057,128,0
4,7,73,138,1.890410959,74,0
4,54,989,981,0.991911021,131,0
0,2,160,197,1.23125,29,0
4,259,661,579,0.875945537,122,0
0,215,890,182,0.204494382,125,0
0,0,103,722,7.009708738,139,0
0,265,790,364,0.460759494,137,0
4,4,48,69,1.4375,81,0
0,2,570,638,1.119298246,50,0
0,2,562,553,0.983985765,18,0
4,26,480,453,0.94375,22,0
2,12,179,267,1.491620112,23,0
0,16,647,1071,1.655332303,65,0
0,85,2738,98,0.035792549,150,0
2,9,536,707,1.319029851,40,0
3,23,365,66,0.180821918,91,0
0,2,291,500,1.718213058,10,0
0,170,1296,1338,1.032407407,63,0
0,2,271,572,2.110701107,3,0
4,1,690,748,1.084057971,48,0
4,34,59,641,10.86440678,10,0
0,13,22,60,2.727272727,0,0
4,17,178,406,2.280898876,89,0
1,1,259,669,2.583011583,40,0
2,14,566,516,0.911660777,21,0
5,0,86,1089,12.6627907,86,0
0,20,43,98,2.279069767,32,0
3,0,11,81,7.363636364,28,0
0,131,1576,275,0.174492386,102,0
0,1,315,743,2.358730159,0,0
0,148,1063,1133,1.065851364,139,0
0,3452,17176,7473,0.435083838,119,0
1,100,2378,91,0.038267452,62,0
0,2,208,651,3.129807692,10,0
0,24,587,4274,7.28109029,79,0
0,90,1040,778,0.748076923,132,0
0,3,437,589,1.347826087,34,0
4,7,248,2431,9.802419355,52,0
0,2,441,335,0.759637188,15,0
1,38,222,298,1.342342342,21,0
3,5,68,285,4.191176471,19,0
0,112,1767,125,0.07074137,91,0
0,22,579,410,0.708117444,149,0
0,54,862,1794,2.081206497,86,0
0,0,1011,907,0.897131553,120,0
0,7,446,627,1.405829596,148,0
0,0,104,566,5.442307692,113,0
0,0,3960,1817,0.458838384,27,0
0,27,1430,719,0.502797203,47,0
0,2,13469,224,0.016630782,28,0
0,198,344,4154,12.0755814,20,0
0,134,539,738,1.369202226,125,0
5,16,209,463,2.215311005,77,0
0,2,424,503,1.186320755,1,0
0,6,90,46,0.511111111,11,0
2,10,508,934,1.838582677,17,0
0,45,405,7565,18.67901235,11,0
0,37,501,207,0.413173653,0,0
0,13,980,3103,3.166326531,72,0
0,0,79,457,5.784810127,3,0
0,0,202,608,3.00990099,29,0
0,167,1144,498,0.435314685,125,0
4,0,466,1877,4.027896996,25,0
0,281,910,770,0.846153846,10,0
0,73,654,850,1.29969419,141,0
4,7,768,723,0.94140625,84,0
2,0,27,57,2.111111111,26,0
3,682,825,4560,5.527272727,17,0
0,23,1320,443,0.335606061,148,0
0,4,651,907,1.393241167,28,0
0,249,191654,1,5.22E-06,118,0
0,281,1643,451,0.27449787,93,0
4,0,144,212,1.472222222,44,0
0,50,139,679,4.884892086,113,0
2,18,376,694,1.845744681,60,0
2,8,789,1691,2.143219265,133,0
0,0,210,1303,6.204761905,49,0
0,73,139,501,3.604316547,39,0
1,110,372,76,0.204301075,96,0
0,233,62898,196,0.003116156,89,0
2,1,484,649,1.340909091,49,0
4,353,805,523,0.649689441,66,0
0,47,1605,105,0.065420561,146,0
0,227,2408,276,0.11461794,126,0
0,4,29,998,34.4137931,72,0
0,41,4300,7473,1.737906977,88,0
2,0,78,260,3.333333333,19,0
0,68,603,600,0.995024876,115,0
3,4,269,643,2.390334572,69,0
2,12,257,1276,4.964980545,0,0
0,0,637,1101,1.728414443,31,0
2,61,1721,1284,0.746077862,91,0
4,16,321,803,2.501557632,36,0
0,78,47994,2715,0.056569571,145,0
4,48,342,398,1.16374269,15,0
0,70,1865,385,0.206434316,44,0
2,15,334,811,2.428143713,73,0
4,95,148,285,1.925675676,84,0
0,1,292,738,2.52739726,15,0
0,52,339,1923,5.672566372,124,0
0,1,341,292,0.856304985,107,0
0,21,403,463,1.148883375,70,0
0,102,399,1827,4.578947368,0,0
0,13,444,1370,3.085585586,141,0
2,16,63,274,4.349206349,54,0
2,15,524,689,1.314885496,9,0
4,21,1021,1049,1.027424094,9,0
0,67,421,782,1.857482185,86,0
0,2,407,1146,2.815724816,118,0
0,1118,555,702,1.264864865,122,0
0,1,159,894,5.622641509,136,0
1,2,140,300,2.142857143,26,0
1,263,1004,1063,1.05876494,147,0
4,0,546,6007,11.0018315,21,0
0,0,464,662,1.426724138,12,0
2,0,189,314,1.661375661,3,0
4,0,3787,1009,0.266437814,77,0
1,64,331,100,0.302114804,33,0
0,63,470,615,1.308510638,146,0
0,12,495,492,0.993939394,35,0
4,30,378,607,1.605820106,56,0
2,36,255,454,1.780392157,74,0
0,46,55,176,3.2,56,0
0,3,62,17,0.274193548,70,0
4,33,601,927,1.542429285,108,0
0,82,899,841,0.935483871,40,0
0,53,158,442,2.797468354,75,0
4,11,311,236,0.758842444,24,0
0,13,539,1164,2.159554731,52,0
0,3,198,470,2.373737374,82,0
0,52,2215,746,0.336794582,129,0
8.333333333,9,0,1,0,65,1
17.39130435,3,9,0,0,84,1
18.18181818,0,47,1,0.021276596,52,1
